reviewId,userName,userImage,👍,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,score,Comments,Keywords,LDA_Category,Sentiment,Insight
910fa3ea-29db-4e6d-972b-83a7ccf0b381,Abnet Hussien,https://play-lh.googleusercontent.com/a-/ALV-UjXnxXoNMAzeqPhPOeeJcQPeVWJNkxB102VpiHDyEaBlog,0,23.10.24,2023-12-05 14:47:40,,,23.10.24,1,it fails proceeding after sending OTP for registration.,otp,Account and Identification Issues,Negative,Influential words: fails
1c92335c-20cf-4dc8-8108-40c5ca406669,Paul Flower,https://play-lh.googleusercontent.com/a-/ALV-UjVvxPo9NgluuxIfLA8-QBVnEt1ezWHlgmjEZiiBWlH8eQ,0,,2023-12-05 13:45:23,,,,4,"I like all features of this app but, airtime topup is not included on app",like,Operational Challenges within the App,Neutral,No significant influential words
1d9285f6-3570-43b1-b649-dfbffa671471,Fenkl Massawa (fenkl),https://play-lh.googleusercontent.com/a-/ALV-UjU5I_7y7oMwa2sPXbzNbmv6rai9YcJDYa6YIjh1XRBEUVs,0,23.10.24,2023-12-05 12:41:48,,,23.10.24,5,I like this app,like,Operational Challenges within the App,Neutral,No significant influential words
26a50719-d3b5-4703-a942-5640e04d824a,Mula Boad,https://play-lh.googleusercontent.com/a-/ALV-UjU5UM8s2recCDgTppq2TfksiBS8J2ZzN4AXTcJGcLl79Q,0,23.10.24,2023-12-05 11:55:36,,,23.10.24,5,Litterally i am well exprienced in social media.but iam new camer for your apolloups,,Functional Issues and User Experience,Neutral,"Influential words: social, new"
4f2712f8-4b7f-45e7-8afb-90556692a6b5,yegna gojo,https://play-lh.googleusercontent.com/a-/ALV-UjXNb6rZB3fxJn17Kcbl5mnkPmb6bwPY1Eirs5aVbz2I3Do,0,23.10.24,2023-12-04 06:47:48,,,23.10.24,5,Good,good,Positive Feedback,Positive,Influential words: Good
b3c85eeb-119a-4552-a5e1-b98bb765f8a0,Sinework Kassahun,https://play-lh.googleusercontent.com/a/ACg8ocIMcUIScbkaYJUKTj7g8nMkd8uzjBLo7pSVUTSBsRhR=mo,0,23.10.24,2023-12-03 20:49:08,,,23.10.24,4,"It crashes most of the time, u need to fix that",,App Performance and Usability,Positive,Influential words: most
07bf174e-57cb-4b71-bc25-1f753283be30,Mehamed Sodo,https://play-lh.googleusercontent.com/a/ACg8ocKVVdp7M-arQSi6cXobcI7a_GL-0hH7IX73O5bSbqmt=mo,0,23.10.24,2023-12-03 18:30:20,,,23.10.24,5,Mamila,,Functional Issues and User Experience,Neutral,No significant influential words
1e1c6552-1e2d-479a-a97f-2771d8f93071,DERSO SHITAHUN,https://play-lh.googleusercontent.com/a/ACg8ocIdvzkdMM0Xh8ft2drRWgd1_FKjhaXbqttFPDgT1G5e=mo,0,23.01.16,2023-12-03 08:32:35,,,23.01.16,4,NICE,,Functional Issues and User Experience,Positive,Influential words: NICE
98f9bfde-b791-4664-a2db-f1d8dfa5ed74,Zola Tefera,https://play-lh.googleusercontent.com/a-/ALV-UjWuoXq6WkbtneYvVwW1g4dCOWozVkXSIQsXoRmE3lxcqg1z,0,,2023-12-02 18:47:20,,,,5,its so cool,,Transaction and Compatibility Concerns,Positive,Influential words: cool
855960ce-ec67-4f48-a644-c94163489475,Chaltu,https://play-lh.googleusercontent.com/a/ACg8ocLG1-44jDwivpyPSjd7YKLhsIOnQ187oWCcHvzLB3mU=mo,0,23.10.24,2023-12-02 17:21:55,,,23.10.24,5,Love 💕,love,Functional Issues and User Experience,Positive,Influential words: Love
